House Description,Price,Bedrooms,Bathrooms,Full Baths,Square Footage,Acres,Year Built,Type,Sub-Type,Style,Address,Area,Community,Condo,City,County,Province,Postal Code,Features,Parking Spaces,Parking,Is Waterfront,Has Pool,Interior,Interior Features,Heating,Fireplace,# of Stories,Has Basement,Basement,Separate Entrance,Exterior,Exterior Features,Construction,Foundation,Elementary,Middle,High,Foreclosure,RE / Bank Owned,Office,Bedrooms Above Grade,# of Garages,Garages,Half Baths,Fireplaces,Zoning,Lot Description,HOA Fees,HOA Fees Freq.,Condo Fee
"Rare property on the market, house converted to office building. It’s not often you see a property this extensively renovated(2010) in this price range. Ideal for anyone wanting to house their professional business in a more relaxed open concept environment. Walking in you are welcomed by the open veranda, vaulted ceilings skylights & a beautiful lounging area. You’ll enjoy the built-in sound system; independently activate speakers on the main floor, lower level & front & back decks. This location is perfect for any office setting with plenty of storage and a plethora of cabinets. Downstairs is a large open room & bdrm which could be a private office. New AC in 2018, Sharp IKEA kitchen is finished off with pot lighting, great appliances, big windows for natural light. HE Furnace and hot water on demand. Previous business was an accounting firm, also perfect for a Real Estate Team or small law firm, hair salon, ect. Parking for 5 vehicles. Show and sell with confidence.","$399,990",1,1.00,1,787,0.12,1948,Single Family,Residential Detached Single Family,Bungalow,15915 100a Avenue Nw,Edmonton,Glenwood,,Edmonton,ALBERTA,AB,T5P 0L7,"Detectors Smoke, No Animal Home, No Smoking Home, Air Conditioner, Ceiling 10 ft., Deck, Insulation-Upgraded, Open Beam, Parking-Extra, Parking-Visitor, Vaulted Ceiling, Vinyl Windows, Wall Unit-Built-In",8,"Front and Rear Drive Access, On Street",No,No,"Ceramic Tile, Laminate Flooring","Dishwasher-Built-In, Refrigerator, Stove-Electric, Window Coverings, Oven-Microwave, Vacuum System Attachments, Air Conditioning-Central, Alarm/Security System",Forced Air-1,No,2,Yes,"Full, Fully Finished, Remodelled Basement",Yes,Concrete,"Playground Nearby, Public Transportation, Schools, Shopping Nearby, Partially Fenced, Back Lane, Landscaped, Low Maintenance Landscape, Public Swimming Pool, Ski Hill",Wood Frame,Concrete,Glendale School,McKernan,Jasper Place,No,No,Courtesy Of Nicholas Golden Of RE/MAX Professionals,,,,,,,,,,
"This fantastic family home has an option to Assume a Mortgage at low rate of 2.05% with bank qualification! Comfortable and cozy 4-bedroom, bungalow home located in the desirable central community of Woodcroft. Main floor features living room, kitchen, separate dining room, 2 bedrooms and 4-piece bathroom, with gleaming refinished hardwood floor throughout. The fully finished basement adds even more living space with 2 more bedrooms, a family room and 3-piece bathroom. The huge deck with hot tub and big backyard are great for summertime entertaining and the detached double heated garage is a welcome escape during the frigid winter months. Shingles replaced in 2019. Home is just steps away from family friendly Coronation Park and Telus Science Center and a short drive to downtown Edmonton, the beautiful river valley, University area and Yellowhead Highway. Some photos are virtually staged.","$357,000",4,2.00,2,929,0.15,1954,Single Family,Residential Detached Single Family,Bungalow,11540 140 Street Nw,Edmonton,Woodcroft,,Edmonton,ALBERTA,AB,T5M 1S7,"Deck, Detectors Smoke, Hot Tub, Vinyl Windows",,"Double Garage Detached, Heated, Insulated, Over Sized",No,No,"Carpet, Ceramic Tile, Hardwood","Dryer, Garage Opener, Refrigerator, Stove-Electric, Washer, Window Coverings, Garage heater, Hot Tub, Dishwasher-Built-In, Hood Fan",Forced Air-1,No,2,Yes,"Full, Fully Finished",No,Vinyl,"Fenced, Landscaped, Playground Nearby, Public Transportation, Schools, Shopping Nearby",Wood Frame,Concrete,,,,No,No,Courtesy Of Justin Tazi Of Exp Realty,2,2,,,,,,,,
"At over 1150 square feet, this Allendale 3+2 bedroom home is equipped with 2 kitchens, a separate rear entrance, a great back yard with mature trees, a garage, & is on a quiet street, facing a neighbourhood park. Gleaming hardwood floors in the open main floor living room tie the space together. The family sized dining room allows the kitchen the freedom to work, with room for everyone at meal prep time. The main floor master bedroom will easily support king sized furniture, and has a double closet. The 2nd and 3rd main floor bedrooms are set apart from each other, thanks to the unique and welcoming layout in this home. Craftsmanship of the day shows in the architecture, & even in the detailed living room ceiling. The basement has 2 huge bedrooms, a completely open kitchen & living room layout, & has it's own entrance from the rear door, with a ceiling height is taller than typical homes. Upgrades to vinyl windows, a furnace, shingles, electrical, vinyl siding, & more. A complete, ready package","$499,600",5,2.00,2,"1,161",0.14,1959,Single Family,Residential Detached Single Family,Bungalow,10431 68 Avenue Nw,Edmonton,Allendale,,Edmonton,ALBERTA,AB,T6H 2A8,"No Smoking Home, Patio, R.V. Storage, Storage-In-Suite, Vinyl Windows",2,"Over Sized, RV Parking, Shop, Single Garage Detached",No,No,"Ceramic Tile, Hardwood, Laminate Flooring","Washer, Window Coverings, Refrigerators-Two, Stoves-Two, Dryer, Garage Opener",Forced Air-1,No,2,Yes,"Fully Finished, Full",Yes,Vinyl,"Fenced, Low Maintenance Landscape, Park/Reserve, Paved Lane, Playground Nearby, Public Transportation, Schools, Shopping Nearby",Wood Frame,Concrete,,,,No,No,Courtesy Of Chris Blower Of RE/MAX River City,3,1,7.32x4.27,,,,,,,
"Gorgeous upgrades and a lower level suite in Caernarvon. New kitchen, new vinyl plank floors on a sound proof heavy subfloor and engineered hardwood down. 2 new bathrooms, new sunroom with 5 top line roller shades. Newer cook top and oven ,dishwasher, microwave hood fan, washer/dryer help to make this a worry free home. The bay window is original but most of the others have been upgraded to vinyl. check out the basement window casements as they are in the prismatic style yielding extra daylight. The perfect family bungalow has 3 bedrooms upstairs and a bedroom and den downstairs. It is real close to all the major amenities like parks, schools and shopping. Public transportation is attractive to anyone using the basement suite which is well lighted, fresh and upgraded. Lots of parking is a real bonus. Door trims and details will be finished before possession. Some entertainment and furniture goods can be included.","$398,800",4,3.00,3,"1,217",0.15,1976,Single Family,Residential Detached Single Family,Bungalow,12112 146 Avenue Nw,Edmonton,Caernarvon,,Edmonton,ALBERTA,AB,T5X 1V3,"Fire Pit, Laundry-In-Suite, Parking-Extra, Sunroom",6,"Double Garage Detached, Front Drive Access, Over Sized, Parking Pad Cement or Paved",No,No,"Engineered Wood, Vinyl Plank","Dishwasher-Built-In, Furniture Included, Garage Opener, Household Goods Included, Microwave Hood Cover, Window Coverings, Dryer-Two, Refrigerators-Two, Stoves-Two, Washers-Two",Forced Air-1,No,2,Yes,"Full, Fully Finished",Yes,"Brick, Metal","Fenced, Landscaped, Park/Reserve, Playground Nearby, Public Transportation, Schools, Shopping Nearby",Wood Frame,Concrete,,,,No,No,Courtesy Of Kenneth Foster Of MaxWell Polaris,3,2,24x26,,,,,,,
"AMAZING VALUE! Welcome home to this well-maintained, ORIGINAL OWNER Custom Built BUNGALOW in the quiet community of Newton. The perfect home for First Time Home Buyers or Investors. Walk inside and experience the SPACIOUS Living Room with large Bay Windows that allow plenty of natural light throughout. Main floor features a Bright Eat-In Kitchen, Formal Dining area, 3 bedrooms and 4 pc bathroom. The large Primary bedroom features a 2 pc Ensuite and access to the private backyard deck. The MASSIVE fully finished basement has a Den, oversized Rec Room, huge Utility room, and offers the potential development for additional Bedrooms or a Legal Suite with a SEPARATE ENTRANCE at the side of the house. The OVERSIZED DOUBLE detached Garage is located behind the house with back lane access and is large enough to fit a pickup truck! RECENT UPGRADES include Roof, HWT, Furnace and Windows. Walking distance to Newton Park and minutes away from the River Valley, Public Transit, Yellowhead and Anthony Henday!","$279,900",3,2.00,1,"1,160",0.00,1979,Single Family,Residential Detached Single Family,Bungalow,11945 52 Street Nw,Edmonton,Newton,,Edmonton,ALBERTA,AB,T5W 3J5,See Remarks,,"Double Garage Detached, On Street",No,No,"Carpet, Linoleum, Parquet","Dryer, Freezer, Garage Control, Garage Opener, Microwave Hood Cover, Stove-Electric, Washer, Window Coverings, See Remarks",Forced Air-1,Yes,2,Yes,"Full, Fully Finished",Yes,"Brick, Stucco, Vinyl","Back Lane, Fenced, Golf Nearby, Playground Nearby, Public Transportation, Schools, Shopping Nearby",Wood Frame,Concrete,,,,No,No,Courtesy Of Terry Paranych Of RE/MAX Excellence,3,2,,1,"Gas, Oak Surround",,,,,
"SEEKING: Young families & first timers who are looking for a turn key home that has easy access to shops, schools, parks & transit! With charming curb appeal, this raised bungalow with large windows will check all your boxes. From the moment you enter you will love the bright front living room with huge front and dbl side windows! A charming arched doorway leads you through to the back EI kitchen, that has been fully updated with SS appliances! Plenty of space here for a large family table set up too! There is an updated 4 pc bath & 2 large bedrooms on this floor. This home has a SEPARATE ENTRANCE and large back entry way. Heading down, you will see a large storage/utility room on your right, and to your left there is a little kitchenette area, which could dbl as an arts space or home gym! Leading back through there is another full bath, lg bed & huge rec room! The fenced yard offers trees and privacy. With a detached garage all you need is to string up some fairy lights and host your first family BBQ!","$292,000",3,2.00,2,914,0.00,1955,Single Family,Residential Detached Single Family,Raised Bungalow,11838 54 Street Nw,Edmonton,Newton,,Edmonton,ALBERTA,AB,T5W 3M7,See Remarks,,Single Garage Detached,No,No,"Carpet, Laminate Flooring","Dishwasher-Built-In, Dryer, Refrigerator, Stove-Electric, Washer",Forced Air-1,No,2,Yes,"Full, Fully Finished",Yes,Stucco,"Back Lane, Fenced, Landscaped, Public Transportation, Schools, Shopping Nearby",Wood Frame,Concrete,Highlands K-9,Highlands K-9,Eastglen 10-12,No,No,Courtesy Of Kimberly Graham Of RE/MAX River City,2,1,,,,,,,,
"This home is classically Kildare; a perfect place to start a family & create beautiful memories. Not only is it located in a neighborhood close to great schools, you are also right across from a park & green space. This 3 bed, 2 bath bungalow is over 1100 sqft above grade w/ a fully finished basement that has a huge den which could be used as a 4th bedroom. Or maybe you prefer making it a fantastic home gym which would be a great addition to the large rec room & 3pc bath down there. The main floor invites you in with a gorgeously sun-kissed living room that has a huge front window to let in all that natural sunlight. You have a formal dining space with a built in buffet & an updated kitchen with chestnut cabinetry. This no carpet home has 3 good sized bedrooms & a 4pc bath with tons of counter space. You have a separate back entrance which leads out to the super private backyard. Absolutely ideal for hosting outdoor gatherings around the firepit. All you need is a double car garage & YES it has that too!","$314,850",3,2.00,2,"1,119",0.15,1967,Single Family,Residential Detached Single Family,Bungalow,7312 143 Avenue Nw,Edmonton,Kildare,,Edmonton,ALBERTA,AB,T5C 2P7,"Detectors Smoke, Fire Pit",4,Double Garage Detached,No,No,"Laminate Flooring, Ceramic Tile, Hardwood","Dishwasher-Built-In, Dryer, Hood Fan, Refrigerator, Stove-Electric, Washer",Forced Air-1,No,2,Yes,"Full, Fully Finished",No,Vinyl,"Playground Nearby, Public Transportation, Schools, Shopping Nearby, Corner, Fenced, Landscaped, Picnic Area, Public Swimming Pool, Treed Lot",Wood Frame,Concrete,Kildare,Londonderry,M.E. LaZerte,No,No,Courtesy Of Daisy Aw Of YEGPro Realty,3,2,,,,,,,,
"***Excellent starter home or investment*** This 2+1 bedroom bungalow has had many upgrades and pride of ownership shows throughout. Located close to all amenities incl: schools, LRT, shopping, public transportation and easy access to Yellowhead Trail. Large open kitchen with pantry, all appliances included. Good sized living room will accommodate the largest of furniture, 2 bedrooms up and 1 in the basement. 4 piece bathroom as well as a covered porch completes the main floor. Basement is fully developed with bedroom, family room, storage room and laundry. Single detached garage and oversized lot completes this excellent starter home or investment property.","$189,900",3,1.00,1,694,0.10,1940,Single Family,Residential Detached Single Family,Bungalow,12909 66 Street Nw,Edmonton,Belvedere,,Edmonton,ALBERTA,AB,T5C 0A6,Closet Organizers,,"Single Garage Detached, RV Parking",No,No,Laminate Flooring,"Dryer, Refrigerator, Stove-Electric, Washer, Window Coverings, Microwave Hood Cover",Forced Air-1,No,2,Yes,"Full, Fully Finished",No,Stucco,"Fenced, Flat Site, Landscaped, Playground Nearby, Public Transportation, Schools, Shopping Nearby, Back Lane, Park/Reserve",Wood Frame,Concrete,,,,No,No,Courtesy Of Chris Akins Of RE/MAX River City,2,1,,,,,,,,
"Investors, Renovator!!! Excellent renovation project or infill opportunity! This potential bungalow is located right in the heart of the city Mccauley community. North facing house offers 925 SQ FT unfinished 2 BEDROOMS, LARGE LIVING RM, BASEMENT W/ 2 BEDRM SUITE W/ SEPARATE ENTRANCE. This house is back on to a perfectly paved lane for easy access, Newer Roof 2020. This home is conveniently located minutes from downtown/ Rogers Place, shopping, schools, a few steps to public transit, and all amenities.","$238,888",4,0.00,,926,0.09,1959,Single Family,Residential Detached Single Family,Raised Bungalow,9349 103a Avenue Nw,Edmonton,Boyle Street,,Edmonton,ALBERTA,AB,T5H 0H3,See Remarks,3,Single Garage Detached,No,No,See Remarks,None,Forced Air-1,No,2,Yes,"Unfinished, Full",Yes,Stucco,"Back Lane, Public Transportation, Schools, Shopping Nearby, See Remarks",Wood Frame,Concrete,"Norwood, Mother Teresa","Holy Cross, Killarney","J H Picard, Victoria",No,No,Courtesy Of Suong Tran Of MaxWell Polaris,2,1,,,,,,,,
"Unique development opportunity. 33x122 ft. Total for four adjacent lots currently for sale 165x122 ft. Zoned DC1 as per bylaw 19550. Steps from downtown, and the river valley, Rodger’s arena, and the heart of Edmonton - the commercial, or residential development opportunities are endless. Selling for lot value.","$219,900",3,1.00,1,"1,109",0.09,1942,Single Family,Residential Detached Single Family,Bungalow,9335 103a Avenue Nw,Edmonton,Boyle Street,,Edmonton,ALBERTA,AB,T5H 0H3,See Remarks,,Single Garage Detached,No,No,See Remarks,None,Forced Air-1,No,1,Yes,"See Remarks, Unfinished",No,Stucco,"Back Lane, Fenced, Paved Lane, Playground Nearby, Schools, Shopping Nearby",Wood Frame,Concrete,St.Teresa of Calcutta,,,No,No,Courtesy Of Thomas Buchanan Of Sotheby's International Realty Canada,3,1,,,,,,,,
